2024-06-21 15:40:44,215 - DEBUG - 開始錄製按鈕被按下
2024-06-21 15:40:44,215 - DEBUG - 選擇錄製區域
2024-06-21 15:40:46,501 - DEBUG - 鼠標按下: (1249, 193)
2024-06-21 15:40:46,516 - DEBUG - 拖動鼠標: (1361, 384) - 寬: 112, 高: 191
2024-06-21 15:40:46,545 - DEBUG - 拖動鼠標: (1388, 423) - 寬: 139, 高: 230
2024-06-21 15:40:46,580 - DEBUG - 拖動鼠標: (1407, 450) - 寬: 158, 高: 257
2024-06-21 15:40:46,614 - DEBUG - 拖動鼠標: (1451, 517) - 寬: 202, 高: 324
2024-06-21 15:40:46,628 - DEBUG - 拖動鼠標: (1507, 603) - 寬: 258, 高: 410
2024-06-21 15:40:46,636 - DEBUG - 拖動鼠標: (1532, 641) - 寬: 283, 高: 448
2024-06-21 15:40:46,644 - DEBUG - 拖動鼠標: (1545, 660) - 寬: 296, 高: 467
2024-06-21 15:40:46,650 - DEBUG - 拖動鼠標: (1558, 679) - 寬: 309, 高: 486
2024-06-21 15:40:46,658 - DEBUG - 拖動鼠標: (1572, 698) - 寬: 323, 高: 505
2024-06-21 15:40:46,666 - DEBUG - 拖動鼠標: (1577, 705) - 寬: 328, 高: 512
2024-06-21 15:40:46,673 - DEBUG - 拖動鼠標: (1590, 721) - 寬: 341, 高: 528
2024-06-21 15:40:46,681 - DEBUG - 拖動鼠標: (1600, 738) - 寬: 351, 高: 545
2024-06-21 15:40:46,687 - DEBUG - 拖動鼠標: (1610, 749) - 寬: 361, 高: 556
2024-06-21 15:40:46,697 - DEBUG - 拖動鼠標: (1614, 756) - 寬: 365, 高: 563
2024-06-21 15:40:46,705 - DEBUG - 拖動鼠標: (1622, 768) - 寬: 373, 高: 575
2024-06-21 15:40:46,714 - DEBUG - 拖動鼠標: (1627, 775) - 寬: 378, 高: 582
2024-06-21 15:40:46,722 - DEBUG - 拖動鼠標: (1628, 779) - 寬: 379, 高: 586
2024-06-21 15:40:46,730 - DEBUG - 拖動鼠標: (1631, 782) - 寬: 382, 高: 589
2024-06-21 15:40:46,737 - DEBUG - 拖動鼠標: (1632, 783) - 寬: 383, 高: 590
2024-06-21 15:40:46,746 - DEBUG - 拖動鼠標: (1633, 785) - 寬: 384, 高: 592
2024-06-21 15:40:46,754 - DEBUG - 拖動鼠標: (1634, 787) - 寬: 385, 高: 594
2024-06-21 15:40:46,764 - DEBUG - 拖動鼠標: (1635, 788) - 寬: 386, 高: 595
