2024-06-21 16:21:56,116 - DEBUG - 選擇區域按鈕被按下
2024-06-21 16:22:00,977 - DEBUG - 鼠標按下: (1289, 162)
2024-06-21 16:22:01,019 - DEBUG - 拖動鼠標: (1289, 163) - 寬: 0, 高: 1
2024-06-21 16:22:01,028 - DEBUG - 拖動鼠標: (1289, 164) - 寬: 0, 高: 2
2024-06-21 16:22:01,051 - DEBUG - 拖動鼠標: (1290, 165) - 寬: 1, 高: 3
2024-06-21 16:22:01,055 - DEBUG - 拖動鼠標: (1291, 167) - 寬: 2, 高: 5
2024-06-21 16:22:01,059 - DEBUG - 拖動鼠標: (1291, 170) - 寬: 2, 高: 8
2024-06-21 16:22:01,063 - DEBUG - 拖動鼠標: (1293, 173) - 寬: 4, 高: 11
2024-06-21 16:22:01,068 - DEBUG - 拖動鼠標: (1294, 175) - 寬: 5, 高: 13
2024-06-21 16:22:01,072 - DEBUG - 拖動鼠標: (1296, 180) - 寬: 7, 高: 18
2024-06-21 16:22:01,076 - DEBUG - 拖動鼠標: (1298, 183) - 寬: 9, 高: 21
2024-06-21 16:22:01,079 - DEBUG - 拖動鼠標: (1300, 187) - 寬: 11, 高: 25
2024-06-21 16:22:01,084 - DEBUG - 拖動鼠標: (1304, 192) - 寬: 15, 高: 30
2024-06-21 16:22:01,087 - DEBUG - 拖動鼠標: (1308, 198) - 寬: 19, 高: 36
2024-06-21 16:22:01,091 - DEBUG - 拖動鼠標: (1309, 203) - 寬: 20, 高: 41
2024-06-21 16:22:01,095 - DEBUG - 拖動鼠標: (1312, 209) - 寬: 23, 高: 47
2024-06-21 16:22:01,100 - DEBUG - 拖動鼠標: (1318, 216) - 寬: 29, 高: 54
2024-06-21 16:22:01,103 - DEBUG - 拖動鼠標: (1321, 220) - 寬: 32, 高: 58
2024-06-21 16:22:01,108 - DEBUG - 拖動鼠標: (1326, 229) - 寬: 37, 高: 67
2024-06-21 16:22:01,111 - DEBUG - 拖動鼠標: (1329, 236) - 寬: 40, 高: 74
2024-06-21 16:22:01,116 - DEBUG - 拖動鼠標: (1333, 245) - 寬: 44, 高: 83
2024-06-21 16:22:01,119 - DEBUG - 拖動鼠標: (1338, 254) - 寬: 49, 高: 92
2024-06-21 16:22:01,123 - DEBUG - 拖動鼠標: (1342, 261) - 寬: 53, 高: 99
2024-06-21 16:22:01,127 - DEBUG - 拖動鼠標: (1349, 270) - 寬: 60, 高: 108
2024-06-21 16:22:01,132 - DEBUG - 拖動鼠標: (1355, 277) - 寬: 66, 高: 115
2024-06-21 16:22:01,135 - DEBUG - 拖動鼠標: (1360, 286) - 寬: 71, 高: 124
2024-06-21 16:22:01,140 - DEBUG - 拖動鼠標: (1365, 293) - 寬: 76, 高: 131
2024-06-21 16:22:01,144 - DEBUG - 拖動鼠標: (1371, 303) - 寬: 82, 高: 141
2024-06-21 16:22:01,148 - DEBUG - 拖動鼠標: (1376, 310) - 寬: 87, 高: 148
2024-06-21 16:22:01,152 - DEBUG - 拖動鼠標: (1382, 319) - 寬: 93, 高: 157
2024-06-21 16:22:01,156 - DEBUG - 拖動鼠標: (1387, 326) - 寬: 98, 高: 164
2024-06-21 16:22:01,159 - DEBUG - 拖動鼠標: (1392, 333) - 寬: 103, 高: 171
2024-06-21 16:22:01,164 - DEBUG - 拖動鼠標: (1397, 340) - 寬: 108, 高: 178
2024-06-21 16:22:01,167 - DEBUG - 拖動鼠標: (1401, 346) - 寬: 112, 高: 184
2024-06-21 16:22:01,171 - DEBUG - 拖動鼠標: (1406, 353) - 寬: 117, 高: 191
2024-06-21 16:22:01,175 - DEBUG - 拖動鼠標: (1409, 358) - 寬: 120, 高: 196
2024-06-21 16:22:01,180 - DEBUG - 拖動鼠標: (1412, 364) - 寬: 123, 高: 202
2024-06-21 16:22:01,183 - DEBUG - 拖動鼠標: (1415, 369) - 寬: 126, 高: 207
2024-06-21 16:22:01,187 - DEBUG - 拖動鼠標: (1418, 373) - 寬: 129, 高: 211
2024-06-21 16:22:01,191 - DEBUG - 拖動鼠標: (1421, 378) - 寬: 132, 高: 216
2024-06-21 16:22:01,195 - DEBUG - 拖動鼠標: (1424, 382) - 寬: 135, 高: 220
2024-06-21 16:22:01,199 - DEBUG - 拖動鼠標: (1427, 385) - 寬: 138, 高: 223
2024-06-21 16:22:01,204 - DEBUG - 拖動鼠標: (1428, 388) - 寬: 139, 高: 226
2024-06-21 16:22:01,207 - DEBUG - 拖動鼠標: (1431, 391) - 寬: 142, 高: 229
2024-06-21 16:22:01,212 - DEBUG - 拖動鼠標: (1434, 395) - 寬: 145, 高: 233
2024-06-21 16:22:01,215 - DEBUG - 拖動鼠標: (1437, 398) - 寬: 148, 高: 236
2024-06-21 16:22:01,219 - DEBUG - 拖動鼠標: (1438, 401) - 寬: 149, 高: 239
2024-06-21 16:22:01,223 - DEBUG - 拖動鼠標: (1440, 403) - 寬: 151, 高: 241
2024-06-21 16:22:01,228 - DEBUG - 拖動鼠標: (1441, 406) - 寬: 152, 高: 244
2024-06-21 16:22:01,232 - DEBUG - 拖動鼠標: (1442, 409) - 寬: 153, 高: 247
2024-06-21 16:22:01,236 - DEBUG - 拖動鼠標: (1444, 412) - 寬: 155, 高: 250
2024-06-21 16:22:01,239 - DEBUG - 拖動鼠標: (1445, 414) - 寬: 156, 高: 252
2024-06-21 16:22:01,243 - DEBUG - 拖動鼠標: (1446, 416) - 寬: 157, 高: 254
2024-06-21 16:22:01,247 - DEBUG - 拖動鼠標: (1448, 418) - 寬: 159, 高: 256
2024-06-21 16:22:01,251 - DEBUG - 拖動鼠標: (1450, 421) - 寬: 161, 高: 259
